URL_fiche;Nom_Place;Coordonnees;Adresse_Complete;Type_Place;Note_Avis;Services
https://park4night.com/fr/place/626156;(29160) Crozon - Lotissement le Domaine du Bois;48.2523, -4.4924;Lotissement le Domaine du Bois, 29160 Crozon,,  France;#626156 - PARKING JOUR ET NUIT;2/5;Animaux autorisés, Internet 3G/4G, Pistes/balades de VTT
https://park4night.com/fr/place/426468;(29160) Crozon - 3 Rue de Reims;48.2463, -4.4897;3 Rue de Reims, 29160 Crozon,,  France;#426468 - SERVICES D'APPOINT;2.33/5;Eau potable
https://park4night.com/fr/place/291531;(29160) Crozon - 5B Venelle de la Gare;48.2475, -4.4945;5B Venelle de la Gare, 29160 Crozon,,  France;#291531 - PARKING JOUR ET NUIT;3.33/5;Toilettes, Boulangerie
https://park4night.com/fr/place/637122;(29160) Crozon - Impasse Goarem Tosta;48.2469, -4.4965;Impasse Goarem Tosta, 29160 Crozon,,  France;#637122 - PARKING JOUR ET NUIT;4/5;
https://park4night.com/fr/place/201111;(29160) Crozon - Rue du cre;48.2449, -4.4943;Rue du cre, 29160 Crozon,,  France;#201111 - PARKING JOUR ET NUIT;3.86/5;
https://park4night.com/fr/place/19387;(29160) Camping of the Peninsula - Crozon;48.2472, -4.4997;16 Boulevard de Pralognan la Vannoise, 29160 Crozon,,  France;#19387 - CAMPING;4.54/5;Animaux autorisés, Eau potable, Eaux noires, Eaux usées, Poubelle, Toilettes, Douches (accès possible), Électricité (accès possible), Accès internet par WiFi, Piscine, Laverie, Monuments à visiter, Windsurf/kitesurf (Spots de), Pistes/balades de VTT, Départ de randonnées, Canoë/kayak (Base de), Coins de pêche, Pêche à pied, Baignade possible, Aire de jeux
https://park4night.com/fr/place/264186;(29160) Aires der Camping Car Crozon Poulpatre;48.2476, -4.4796;72 Rue de Poulpatre, 29160 Crozon,,  France;#264186 - AIRE CC STAT. PAYANT;3.43/5;Animaux autorisés, Eau potable, Eaux noires, Eaux usées, Poubelle, Électricité (accès possible), Station GPL, Monuments à visiter, Pistes/balades de VTT, Départ de randonnées, Point de vue
https://park4night.com/fr/place/410018;(29160) Crozon - 6 Rue Voltaire;48.2471, -4.5034;6 Rue Voltaire, 29160 Crozon,,  France;#410018 - PARKING JOUR ET NUIT;4.5/5;Aire de jeux
https://park4night.com/fr/place/617031;(29160) Crozon - D155;48.2600, -4.4919;D155, 29160 Crozon,,  France;#617031 - PARKING JOUR ET NUIT;Non trouvé / Non noté;
https://park4night.com/fr/place/465396;(29160) Crozon - 13 Boulevard Pierre Mendès France;48.2507, -4.4721;13 Boulevard Pierre Mendès France, 29160 Crozon,,  France;#465396 - SERVICES D'APPOINT;2/5;Laverie
