URL_fiche;Nom_Place;Coordonnees;Adresse_Complete;Type_Place;Note_Avis;Services
https://park4night.com/fr/place/225996;(29217) Plougonvelin - 21 Rue Saint-Jean;48.3422, -4.7231;21 Rue Saint-Jean, 29217 Plougonvelin,,  France;#225996 - SERVICES D'APPOINT;2.17/5;Laverie, Dépannage en gaz
https://park4night.com/fr/place/2309;(29217) Aire de camping-cars de Plougonvelin;48.3379, -4.7074;Rue de Bertheaume, 29217 Plougonvelin,,  France;#2309 - AIRE CC STAT. PAYANT;4.03/5;Animaux autorisés, Eau potable, Eaux noires, Eaux usées, Poubelle, Toilettes, Douches (accès possible), Boulangerie, Électricité (accès possible), Internet 3G/4G, Monuments à visiter, Pistes/balades de VTT, Départ de randonnées, Canoë/kayak (Base de), Baignade possible, Point de vue
https://park4night.com/fr/place/386860;(29217) Plougonvelin - 6016 Rue de Kerouanen;48.3473, -4.7048;6016 Rue de Kerouanen, 29217 Plougonvelin,,  France;#386860 - PARKING JOUR ET NUIT;2.67/5;Animaux autorisés, Windsurf/kitesurf (Spots de), Baignade possible
https://park4night.com/fr/place/91807;(29217) Camping Keryel;48.3453, -4.7424;64 Kerviny, 29217 Plougonvelin,,  France;#91807 - CAMPING;4.18/5;Eau potable, Eaux noires, Eaux usées, Poubelle, Toilettes, Douches (accès possible), Électricité (accès possible), Internet 3G/4G, Monuments à visiter, Windsurf/kitesurf (Spots de), Pistes/balades de VTT, Départ de randonnées, Canoë/kayak (Base de), Coins de pêche, Pêche à pied, Baignade possible, Point de vue
https://park4night.com/fr/place/537909;(29217) Plougonvelin - 28 Boulevard de la Mer;48.3503, -4.7005;28 Boulevard de la Mer, 29217 Plougonvelin,,  France;#537909 - PARKING JOUR ET NUIT;4/5;Monuments à visiter, Canoë/kayak (Base de), Coins de pêche, Pêche à pied, Baignade possible, Aire de jeux
https://park4night.com/fr/place/626121;(29217) Plougonvelin - Place des FFI;48.3547, -4.6883;Place des FFI, 29217 Plougonvelin,,  France;#626121 - PARKING JOUR ET NUIT;4/5;Pistes/balades de VTT, Départ de randonnées, Coins de pêche, Pêche à pied, Baignade possible, Point de vue
https://park4night.com/fr/place/54863;(29217) Le Conquet - 47-115 Lochrist;48.3450, -4.7616;47-115 Lochrist, 29217 Le Conquet,,  France;#54863 - PARKING JOUR ET NUIT;5/5;Toilettes, Monuments à visiter, Baignade possible
https://park4night.com/fr/place/612719;(29280) Locmaria-Plouzané - 22 Rue de Porsmilin;48.3578, -4.6780;22 Rue de Porsmilin, 29280 Locmaria-Plouzané,,  France;#612719 - PARKING JOUR ET NUIT;Non trouvé / Non noté;Animaux autorisés, Eau potable, Poubelle, Toilettes, Départ de randonnées, Baignade possible, Point de vue
https://park4night.com/fr/place/36565;(29217) Le Conquet - 73 Route Touristique;48.3483, -4.7699;73 Route Touristique, 29217 Le Conquet,,  France;#36565 - PARKING JOUR ET NUIT;4.02/5;Animaux autorisés, Pêche à pied, Baignade possible
https://park4night.com/fr/place/203155;(29280) Locmaria-Plouzané - 25 Boulevard de l'Océan;48.3549, -4.6736;25 Boulevard de l'Océan, 29280 Locmaria-Plouzané,,  France;#203155 - PARKING JOUR ET NUIT;3.71/5;Toilettes, Internet 3G/4G, Coins de pêche, Baignade possible, Point de vue
